name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(지배주주%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
현대자동차(현대차),1419898,94490,88282,6.65,6.22,10.11,183.17(21),45.68(21),"5,187.27(21)",28876,5.7,318332,0.52,5618,2.39(21),26.32(21)
현대(현대차),1419898,94490,88282,6.65,6.22,10.11,183.17(21),45.68(21),"5,187.27(21)",28876,5.7,318332,0.52,5618,2.39(21),26.32(21)
네이버(NAVER),81750,13142,8206,16.08,10.04,3.86,40.22(21),128.35(21),"149,081.45(21)",5589,37.84,159933,1.32,945,0.14(21),0.46(21)
네이 버(NAVER),81750,13142,8206,16.08,10.04,3.86,40.22(21),128.35(21),"149,081.45(21)",5589,37.84,159933,1.32,945,0.14(21),0.46(21)
KAKAO(카카오),72361,5858,16377,8.1,22.63,14.13,67.62(21),146.88(21),"21,260.57(21)",3416,19.67,26451,2.54,53,0.05(21),1.65(21)
카톡(카카오),72361,5858,16377,8.1,22.63,14.13,67.62(21),146.88(21),"21,260.57(21)",3416,19.67,26451,2.54,53,0.05(21),1.65(21)
기아자동차(기아),868933,69526,54129,8,6.23,14.51,91.48(21),95.75(21),"1,561.65(21)",13391,4.8,99950,0.64,3305,3.65(21),25.27(21)
기아차(기아),868933,69526,54129,8,6.23,14.51,91.48(21),95.75(21),"1,561.65(21)",13391,4.8,99950,0.64,3305,3.65(21),25.27(21)
포스코홀딩스(POSCO홀딩스),851486,58272,46926,6.84,5.51,8.0,66.90(21),148.59(21),"10,970.25(21)",48476,6.29,713264,0.43,14346,6.19(21),19.43(21)
포스코 홀딩스(POSCO홀딩스),851486,58272,46926,6.84,5.51,8.0,66.90(21),148.59(21),"10,970.25(21)",48476,6.29,713264,0.43,14346,6.19(21),19.43(21)
케이비금융(KB금융),"589,176(21)",60717,47460,10.35(21),7.44(21),9.9,"1,274.70(21)",^,"2,264.45(21)",11557,4.92,124636,0.46,3272,5.35(21),25.98(21)
국민은행(KB금융),"589,176(21)",60717,47460,10.35(21),7.44(21),9.9,"1,274.70(21)",^,"2,264.45(21)",11557,4.92,124636,0.46,3272,5.35(21),25.98(21)
셀트(셀트리온),23854,7604,6201,31.88,26,14.95,40.09(21),206.23(21),"2,833.54(21)",4222,40.05,30297,5.58,780,0.37(21),17.68(21)
셀트 리온(셀트리온),23854,7604,6201,31.88,26,14.95,40.09(21),206.23(21),"2,833.54(21)",4222,40.05,30297,5.58,780,0.37(21),17.68(21)
삼물(삼성물산),435744,24810,23808,5.69,5.46,6.82,65.64(21),82.63(21),"106,252.66(21)",10760,11.22,177762,0.68,3025,3.53(21),42.37(21)
삼성 물산(삼성물산),435744,24810,23808,5.69,5.46,6.82,65.64(21),82.63(21),"106,252.66(21)",10760,11.22,177762,0.68,3025,3.53(21),42.37(21)
신한(신한지주),"286,756(21)",63087,49677,20.76(21),14.34(21),10.2,"1,208.38(21)",^,"1,589.78(21)",9247,4.5,93049,0.45,2384,5.33(21),26.04(21)
신한은행(신한지주),"286,756(21)",63087,49677,20.76(21),14.34(21),10.2,"1,208.38(21)",^,"1,589.78(21)",9247,4.5,93049,0.45,2384,5.33(21),26.04(21)
현대 모비스(현대모비스),504123,20141,27115,4,5.38,7.4,45.61(21),124.97(21),"7,346.53(21)",28649,7.31,412783,0.51,4341,1.57(21),15.51(21)
현대모터스(현대모비스),504123,20141,27115,4,5.38,7.4,45.61(21),124.97(21),"7,346.53(21)",28649,7.31,412783,0.51,4341,1.57(21),15.51(21)
포스코 케미칼(포스코케미칼),35486,2323,2169,6.55,6.11,8.27,60.86(21),59.28(21),"6,069.07(21)",2682,68.8,34040,5.42,318,0.21(21),17.32(21)
포스코케미(포스코케미칼),35486,2323,2169,6.55,6.11,8.27,60.86(21),59.28(21),"6,069.07(21)",2682,68.8,34040,5.42,318,0.21(21),17.32(21)
엘지전자(LG전자),844421,39340,21894,4.66,2.59,9.1,166.10(21),71.71(21),"1,933.04(21)",9331,9.27,110232,0.78,966,0.62(21),14.92(21)
엘지 전자(LG전자),844421,39340,21894,4.66,2.59,9.1,166.10(21),71.71(21),"1,933.04(21)",9331,9.27,110232,0.78,966,0.62(21),14.92(21)
에스케이 이노베이션(SK이노베이션),797374,52261,27567,6.55,3.46,12.9,152.42(21),93.89(21),"3,822.01(21)",25796,6.67,235841,0.73,1567,1.05(21),66.37(21)
에스케이이노베이션(SK이노베이션),797374,52261,27567,6.55,3.46,12.9,152.42(21),93.89(21),"3,822.01(21)",25796,6.67,235841,0.73,1567,1.05(21),66.37(21)
하나은행(하나금융지주),"416,778(21)",49240,37685,11.11(21),8.59(21),10.48,"1,315.37(21)",^,"2,284.70(21)",12493,3.89,125748,0.39,3361,7.37(21),25.63(21)
하나금융(하나금융지주),"416,778(21)",49240,37685,11.11(21),8.59(21),10.48,"1,315.37(21)",^,"2,284.70(21)",12493,3.89,125748,0.39,3361,7.37(21),25.63(21)
에스케이(SK),1342898,103027,75792,7.67,5.64,11.92,152.24(21),82.30(21),"138,287.27(21)",36594,5.48,441807,0.45,8198,3.19(21),22.72(21)
에스 케이(SK),1342898,103027,75792,7.67,5.64,11.92,152.24(21),82.30(21),"138,287.27(21)",36594,5.48,441807,0.45,8198,3.19(21),22.72(21)
삼성생명보험(삼성생명),170172,3909,12303,2.3,7.23,3.87,761.52(21),^,"41,635.74(21)",5796,12.53,122740,0.59,2855,4.68(21),36.66(21)
삼성 생명(삼성생명),170172,3909,12303,2.3,7.23,3.87,761.52(21),^,"41,635.74(21)",5796,12.53,122740,0.59,2855,4.68(21),36.66(21)
카뱅(카카오뱅크),"10,649(21)",3977,2843,24.13(21),19.17(21),5.03,552.74(21),^,132.40(21),597,48.31,12131,2.38,-,-,-
카카오 뱅크(카카오뱅크),"10,649(21)",3977,2843,24.13(21),19.17(21),5.03,552.74(21),^,132.40(21),597,48.31,12131,2.38,-,-,-
한전(한국전력),709093,-308907,-234567,-43.56,-33.08,-45.09,223.23(21),42.63(21),"1,474.28(21)",-36817,-0.53,63975,0.3,-,-,-
한국전력공사(한국전력),709093,-308907,-234567,-43.56,-33.08,-45.09,223.23(21),42.63(21),"1,474.28(21)",-36817,-0.53,63975,0.3,-,-,-
엘지(LG),73174,22405,26372,30.62,36.04,10.68,17.00(21),151.60(21),"2,727.61(21)",15688,5.21,163585,0.5,3100,3.46(21),17.50(21)
엘쥐(LG),73174,22405,26372,30.62,36.04,10.68,17.00(21),151.60(21),"2,727.61(21)",15688,5.21,163585,0.5,3100,3.46(21),17.50(21)
케이티앤지(KT&G),57828,13484,12424,23.32,21.49,13.11,26.37(21),140.18(21),951.22(21),9059,10.24,84463,1.1,4978,6.08(21),58.93(21)
ktg(KT&G),57828,13484,12424,23.32,21.49,13.11,26.37(21),140.18(21),951.22(21),9059,10.24,84463,1.1,4978,6.08(21),58.93(21)
엘지생활(LG생활건강),73137,7358,4624,10.06,6.32,8.07,37.42(21),96.49(21),"6,300.24(21)",25025,30.33,334149,2.27,10303,1.09(21),23.82(21)
엘지생활건강(LG생활건강),73137,7358,4624,10.06,6.32,8.07,37.42(21),96.49(21),"6,300.24(21)",25025,30.33,334149,2.27,10303,1.09(21),23.82(21)
고려아연주식회사(고려아연),111263,9992,6819,8.98,6.13,8.4,28.83(21),78.15(21),"8,029.37(21)",34540,16.5,413785,1.38,20182,3.91(21),43.81(21)
고려 아연(고려아연),111263,9992,6819,8.98,6.13,8.4,28.83(21),78.15(21),"8,029.37(21)",34540,16.5,413785,1.38,20182,3.91(21),43.81(21)
에이치엠엠(HMM),183729,98623,99695,53.68,54.26,64.89,72.58(21),310.18(21),212.90(21),20069,1.13,40673,0.56,1296,2.23(21),5.50(21)
흐ㅁ(HMM),183729,98623,99695,53.68,54.26,64.89,72.58(21),310.18(21),212.90(21),20069,1.13,40673,0.56,1296,2.23(21),5.50(21)
삼성 전기(삼성전기),95559,12287,9801,12.86,10.26,13.5,44.68(21),116.42(21),"1,510.49(21)",12434,11.9,100341,1.47,2202,1.06(21),17.79(21)
samsung전기(삼성전기),95559,12287,9801,12.86,10.26,13.5,44.68(21),116.42(21),"1,510.49(21)",12434,11.9,100341,1.47,2202,1.06(21),17.79(21)
두산애너빌(두산에너빌리티),136920,9830,5290,7.18,3.86,6.45,169.32(21),60.37(21),98.61(21),655,25.18,10180,1.62,-,-,-
두산 애너빌리티(두산에너빌리티),136920,9830,5290,7.18,3.86,6.45,169.32(21),60.37(21),98.61(21),655,25.18,10180,1.62,-,-,-
skt(SK텔레콤),173051,16574,9198,9.58,5.32,7.6,150.59(21),87.03(21),"79,389.83(21)",4027,11.51,53313,0.87,3379,4.59(21),29.78(21)
에스케이텔레콤(SK텔레콤),173051,16574,9198,9.58,5.32,7.6,150.59(21),87.03(21),"79,389.83(21)",4027,11.51,53313,0.87,3379,4.59(21),29.78(21)
ncsoft(엔씨소프트),25812,5881,5505,22.78,21.33,16.87,45.40(21),159.95(21),"31,929.17(21)",25154,18.76,167328,2.82,6706,0.91(21),29.98(21)
엔시소프트(엔씨소프트),25812,5881,5505,22.78,21.33,16.87,45.40(21),159.95(21),"31,929.17(21)",25154,18.76,167328,2.82,6706,0.91(21),29.98(21)
soil(S-Oil),422528,36678,22267,8.68,5.27,28.05,167.50(21),56.68(21),"2,286.44(21)",18777,4.85,74075,1.23,6084,4.43(21),32.10(21)
에스오일(S-Oil),422528,36678,22267,8.68,5.27,28.05,167.50(21),56.68(21),"2,286.44(21)",18777,4.85,74075,1.23,6084,4.43(21),32.10(21)
samsungsds(삼성에스디에스),169644,9377,10012,5.53,5.9,12.67,41.29(21),317.75(21),"19,086.39(21)",12565,9.75,104992,1.17,2729,1.53(21),30.37(21)
삼성sds(삼성에스디에스),169644,9377,10012,5.53,5.9,12.67,41.29(21),317.75(21),"19,086.39(21)",12565,9.75,104992,1.17,2729,1.53(21),30.37(21)
현대 중공업(현대중공업),91994,-2849,-1853,-3.1,-2.01,-3.38,169.55(21),58.82(21),962.02(21),-2109,-53.19,61720,1.82,-,-,-
현대중공(현대중공업),91994,-2849,-1853,-3.1,-2.01,-3.38,169.55(21),58.82(21),962.02(21),-2109,-53.19,61720,1.82,-,-,-
삼성 화재(삼성화재),"244,443(21)","15,069(21)",11930,6.16(21),4.60(21),8.88,512.78(21),^,"64,024.08(21)",23513,8.91,266011,0.79,12909,5.94(21),45.46(21)
삼성화재보험(삼성화재),"244,443(21)","15,069(21)",11930,6.16(21),4.60(21),8.88,512.78(21),^,"64,024.08(21)",23513,8.91,266011,0.79,12909,5.94(21),45.46(21)
우리은행(우리금융지주),"271,910(21)",44240,33262,13.46(21),10.32(21),11.67,"1,450.02(21)",^,692.63(21),4341,2.88,38928,0.32,1119,7.09(21),25.29(21)
우리금융(우리금융지주),"271,910(21)",44240,33262,13.46(21),10.32(21),11.67,"1,450.02(21)",^,692.63(21),4341,2.88,38928,0.32,1119,7.09(21),25.29(21)
케이티(KT),256309,17274,12973,6.74,5.06,7.53,124.30(21),101.16(21),941.37(21),4452,7.7,62127,0.55,2063,6.24(21),33.19(21)
케이 티(KT),256309,17274,12973,6.74,5.06,7.53,124.30(21),101.16(21),941.37(21),4452,7.7,62127,0.55,2063,6.24(21),33.19(21)
배그(크래프톤),18411,7150,7539,38.83,40.95,14.83,22.28(21),572.52(21),"89,793.21(21)",15366,12.15,118456,1.58,-,-,-
krafton(크래프톤),18411,7150,7539,38.83,40.95,14.83,22.28(21),572.52(21),"89,793.21(21)",15366,12.15,118456,1.58,-,-,-
대한 항공(대한항공),139811,29218,18731,20.9,13.4,24.59,288.48(21),65.19(21),232.63(21),5232,4.56,23213,1.03,-,-,-
koreanair(대한항공),139811,29218,18731,20.9,13.4,24.59,288.48(21),65.19(21),232.63(21),5232,4.56,23213,1.03,-,-,-
한화 솔루션(한화솔루션),133195,11000,6649,8.26,4.99,7.53,143.96(21),64.56(21),721.16(21),3356,13.86,47393,0.98,14,-,-
한화솔루(한화솔루션),133195,11000,6649,8.26,4.99,7.53,143.96(21),64.56(21),721.16(21),3356,13.86,47393,0.98,14,-,-
카페(카카오페이),5311,-475,-309,-8.94,-5.82,-0.27,91.17(21),271.42(21),"2,451.26(21)",-35,-1892.45,12728,5.16,-,-,-
카카오 페이(카카오페이),5311,-475,-309,-8.94,-5.82,-0.27,91.17(21),271.42(21),"2,451.26(21)",-35,-1892.45,12728,5.16,-,-,-
아모레(아모레퍼시픽),41511,2015,1226,4.85,2.95,2.7,28.93(21),89.02(21),"13,710.55(21)",1876,78.59,69973,2.11,802,0.59(21),34.92(21)
아모레 퍼시픽(아모레퍼시픽),41511,2015,1226,4.85,2.95,2.7,28.93(21),89.02(21),"13,710.55(21)",1876,78.59,69973,2.11,802,0.59(21),34.92(21)
기업 은행(기업은행),"174,917(21)",36769,27276,18.47(21),13.87(21),9.74,"1,345.75(21)",^,553.80(21),3408,2.97,37749,0.27,880,7.57(21),25.78(21)
기업(기업은행),"174,917(21)",36769,27276,18.47(21),13.87(21),9.74,"1,345.75(21)",^,553.80(21),3408,2.97,37749,0.27,880,7.57(21),25.78(21)
hybe(하이브),16952,2389,2612,14.09,15.4,8.55,63.82(21),216.01(21),"13,180.02(21)",6195,31.57,76941,2.54,-,-,-
방탄(하이브),16952,2389,2612,14.09,15.4,8.55,63.82(21),216.01(21),"13,180.02(21)",6195,31.57,76941,2.54,-,-,-
현대 글로비스(현대글로비스),272691,18196,12115,6.67,4.44,19.0,109.39(21),136.10(21),"30,792.34(21)",32274,5.68,185080,0.99,4117,2.26(21),18.20(21)
현대글로비(현대글로비스),272691,18196,12115,6.67,4.44,19.0,109.39(21),136.10(21),"30,792.34(21)",32274,5.68,185080,0.99,4117,2.26(21),18.20(21)
엘지이노텍(LG이노텍),195763,15328,10814,7.83,5.52,27.62,133.58(21),80.19(21),"2,688.76(21)",45048,6.13,186240,1.48,3372,0.82(21),7.99(21)
엘지 이노텍(LG이노텍),195763,15328,10814,7.83,5.52,27.62,133.58(21),80.19(21),"2,688.76(21)",45048,6.13,186240,1.48,3372,0.82(21),7.99(21)
롯데 케미칼(롯데케미칼),224089,-4893,591,-2.18,0.26,0.57,48.01(21),119.15(21),"8,276.05(21)",2323,75.35,414643,0.42,1729,3.82(21),21.14(21)
롯데케미(롯데케미칼),224089,-4893,591,-2.18,0.26,0.57,48.01(21),119.15(21),"8,276.05(21)",2323,75.35,414643,0.42,1729,3.82(21),21.14(21)
에스케이바이오(SK바이오사이언스),4835,1569,1332,32.45,27.55,7.96,31.77(21),370.20(21),"4,084.63(21)",1736,45.44,22736,3.47,-,-,-
에스케이 바이오사이언스(SK바이오사이언스),4835,1569,1332,32.45,27.55,7.96,31.77(21),370.20(21),"4,084.63(21)",1736,45.44,22736,3.47,-,-,-
